doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2019.12.11.872994,Apr 2020,8,3,11
10.1101/2019.12.11.873000,Dec 2019,398,16,87
10.1101/2019.12.11.873000,Jan 2020,73,17,36
10.1101/2019.12.11.873000,Feb 2020,56,29,22
10.1101/2019.12.11.873000,Mar 2020,41,19,27
10.1101/2019.12.11.873000,Apr 2020,32,6,23
10.1101/2019.12.11.873018,Dec 2019,448,8,56
10.1101/2019.12.11.873018,Jan 2020,61,12,13
10.1101/2019.12.11.873018,Feb 2020,62,62,10
10.1101/2019.12.11.873018,Mar 2020,72,122,15
10.1101/2019.12.11.873018,Apr 2020,18,3,10
10.1101/2019.12.11.873034,Dec 2019,219,13,72
10.1101/2019.12.11.873034,Jan 2020,62,13,28
10.1101/2019.12.11.873034,Feb 2020,63,25,40
10.1101/2019.12.11.873034,Mar 2020,59,34,44
10.1101/2019.12.11.873034,Apr 2020,28,4,18
10.1101/2019.12.11.873042,Dec 2019,375,5,147
10.1101/2019.12.11.873042,Jan 2020,54,10,24
10.1101/2019.12.11.873042,Feb 2020,41,24,47
10.1101/2019.12.11.873042,Mar 2020,23,10,19
10.1101/2019.12.11.873042,Apr 2020,13,3,14
10.1101/2019.12.11.873075,Dec 2019,923,24,122
10.1101/2019.12.11.873075,Jan 2020,263,17,39
10.1101/2019.12.11.873075,Feb 2020,73,22,18
10.1101/2019.12.11.873075,Mar 2020,69,19,35
10.1101/2019.12.11.873075,Apr 2020,33,15,26
10.1101/2019.12.11.873133,Dec 2019,431,7,95
10.1101/2019.12.11.873133,Jan 2020,107,12,45
10.1101/2019.12.11.873133,Feb 2020,95,17,33
10.1101/2019.12.11.873133,Mar 2020,91,20,20
10.1101/2019.12.11.873133,Apr 2020,64,3,8
10.1101/2019.12.11.873174,Dec 2019,385,3,141
10.1101/2019.12.11.873174,Jan 2020,192,16,97
10.1101/2019.12.11.873174,Feb 2020,141,29,90
10.1101/2019.12.11.873174,Mar 2020,87,24,65
10.1101/2019.12.11.873174,Apr 2020,68,23,47
10.1101/2019.12.11.873182,Dec 2019,399,13,100
10.1101/2019.12.11.873182,Jan 2020,75,20,38
10.1101/2019.12.11.873182,Feb 2020,76,36,27
10.1101/2019.12.11.873182,Mar 2020,43,43,31
10.1101/2019.12.11.873182,Apr 2020,30,34,39
10.1101/2019.12.11.873190,Dec 2019,540,11,185
10.1101/2019.12.11.873190,Jan 2020,68,18,25
10.1101/2019.12.11.873190,Feb 2020,40,21,16
10.1101/2019.12.11.873190,Mar 2020,56,21,18
10.1101/2019.12.11.873190,Apr 2020,73,15,58
10.1101/2019.12.11.873208,Dec 2019,318,7,80
10.1101/2019.12.11.873208,Jan 2020,46,10,23
10.1101/2019.12.11.873208,Feb 2020,40,20,19
10.1101/2019.12.11.873208,Mar 2020,31,17,11
10.1101/2019.12.11.873208,Apr 2020,13,3,16
10.1101/2019.12.11.873224,Dec 2019,331,7,60
10.1101/2019.12.11.873224,Jan 2020,56,25,31
10.1101/2019.12.11.873224,Feb 2020,57,23,18
10.1101/2019.12.11.873224,Mar 2020,43,14,10
10.1101/2019.12.11.873224,Apr 2020,20,3,16
10.1101/2019.12.11.873240,Dec 2019,327,6,53
10.1101/2019.12.11.873240,Jan 2020,55,25,23
10.1101/2019.12.11.873240,Feb 2020,47,25,9
10.1101/2019.12.11.873240,Mar 2020,37,21,17
10.1101/2019.12.11.873240,Apr 2020,21,18,11
10.1101/2019.12.11.873257,Dec 2019,482,6,71
10.1101/2019.12.11.873257,Jan 2020,70,7,24
10.1101/2019.12.11.873257,Feb 2020,47,18,15
10.1101/2019.12.11.873257,Mar 2020,42,11,8
10.1101/2019.12.11.873257,Apr 2020,16,4,15
10.1101/2019.12.11.873265,Dec 2019,2591,326,566
10.1101/2019.12.11.873265,Jan 2020,1031,86,286
10.1101/2019.12.11.873265,Feb 2020,923,81,247
10.1101/2019.12.11.873265,Mar 2020,518,43,246
