doi,comments_count
10.1101/19007617,0
10.1101/19007633,0
10.1101/19007666,0
10.1101/19007674,0
10.1101/19007682,0
10.1101/19007708,0
10.1101/19007724,0
10.1101/19007740,0
10.1101/19007757,0
10.1101/19007765,0
10.1101/19007773,0
10.1101/19007781,0
10.1101/19007815,0
10.1101/19007823,0
10.1101/19007831,0
10.1101/19007849,0
10.1101/19007856,0
10.1101/19007864,0
10.1101/19007872,0
10.1101/19007898,0
10.1101/19007906,0
10.1101/19007914,0
10.1101/19007922,0
10.1101/19007955,0
10.1101/19007963,0
10.1101/19007971,0
10.1101/19007989,0
10.1101/19007997,0
10.1101/19008011,0
10.1101/19008029,0
10.1101/19008037,0
10.1101/19008045,0
10.1101/19008052,0
10.1101/19008078,0
10.1101/19008086,0
10.1101/19008102,0
10.1101/19008128,0
10.1101/19008136,0
10.1101/19008144,0
10.1101/19008151,0
10.1101/19008169,0
10.1101/19008185,0
10.1101/19008201,0
10.1101/19008227,0
10.1101/19008250,0
10.1101/19008268,0
10.1101/19008276,0
10.1101/19008284,0
10.1101/19008300,0
10.1101/19008318,0
10.1101/19008326,0
10.1101/19008342,0
10.1101/19008367,0
10.1101/19008383,0
10.1101/19008391,0
10.1101/19008409,0
10.1101/19008417,0
10.1101/19008433,0
10.1101/19008458,0
10.1101/19008474,0
10.1101/19008482,0
10.1101/19008490,0
10.1101/19008508,0
10.1101/19008516,0
10.1101/19008524,0
10.1101/19008581,0
10.1101/19008615,0
10.1101/19008631,0
10.1101/19008649,0
10.1101/19008664,0
10.1101/19008672,0
10.1101/19008680,0
10.1101/19008706,0
10.1101/19008722,0
10.1101/19008748,0
10.1101/19008755,0
10.1101/19008763,0
10.1101/19008771,0
10.1101/19008797,0
10.1101/19008813,0
10.1101/19008821,0
10.1101/19008839,0
10.1101/19008854,0
10.1101/19008896,0
10.1101/19008953,0
10.1101/19008961,0
10.1101/19008987,0
10.1101/19008995,0
10.1101/19009035,0
10.1101/19009076,0
10.1101/19009092,0
10.1101/19009118,0
10.1101/19009126,0
10.1101/19009134,0
10.1101/19009159,0
10.1101/19009167,0
10.1101/19009175,0
10.1101/19009183,0
10.1101/19009191,0
10.1101/19009233,0
10.1101/19009241,0
10.1101/19009258,0
10.1101/19009274,0
10.1101/19009282,0
10.1101/19009316,0
10.1101/19009332,0
10.1101/19009365,0
10.1101/19009381,0
10.1101/19009407,0
10.1101/19009423,0
10.1101/19009431,0
10.1101/19009449,0
10.1101/19009456,0
10.1101/19009464,0
10.1101/19009472,0
10.1101/19009480,1
10.1101/19009498,0
10.1101/19009522,0
10.1101/19009530,0
10.1101/19009555,0
10.1101/19009563,0
10.1101/19009589,0
10.1101/19009597,0
10.1101/19009605,0
10.1101/19009621,0
10.1101/19009639,0
10.1101/19009647,0
10.1101/19009662,0
10.1101/19009696,0
10.1101/19009704,0
10.1101/19009712,0
10.1101/19009738,0
10.1101/19009746,0
10.1101/19009779,0
10.1101/19009787,0
10.1101/19009795,0
10.1101/19009811,0
10.1101/19009837,0
10.1101/19009878,0
10.1101/19009886,0
10.1101/19009894,0
10.1101/19009910,0
10.1101/19009969,0
10.1101/19009977,0
10.1101/19009985,2
10.1101/19010025,0
10.1101/19010033,0
10.1101/19010041,0
10.1101/19010066,0
10.1101/19010074,0
10.1101/19010082,0
10.1101/19010116,0
10.1101/19010124,0
10.1101/19010132,0
10.1101/19010140,0
10.1101/19010165,0
10.1101/19010181,0
10.1101/19010199,0
10.1101/19010215,0
10.1101/19010223,0
10.1101/19010231,0
10.1101/19010256,0
10.1101/19010264,0
10.1101/19010272,0
10.1101/19010280,0
10.1101/19010298,0
10.1101/19010322,0
10.1101/19010348,0
10.1101/19010389,0
10.1101/19010397,0
10.1101/19010413,0
10.1101/19010421,0
10.1101/19010447,0
10.1101/19010462,0
10.1101/19010470,0
10.1101/19010504,0
10.1101/19010512,0
10.1101/19010520,0
10.1101/19010538,0
10.1101/19010553,0
10.1101/19010579,0
10.1101/19010587,0
10.1101/19010603,0
