doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/19000828,0.75,3,0,0,0,0,0,10.1136/bmjopen-2019-030513,3.5,6,1,0,0,0,0
10.1101/19002394,0.5,2,0,0,0,0,0,10.1038/s41390-019-0677-0,74.75,3,0,0,11,0,0
10.1101/19003327,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19003855,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19003889,5.4,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004218,3.75,7,0,0,0,0,0,10.1093/ijnp/pyz072,0,0,0,0,0,0,0
10.1101/19004283,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004523,3.1,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19004721,6.35,8,0,0,0,0,0,10.1080/2326263x.2019.1709260,18,24,0,0,0,0,0
10.1101/19004804,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005124,4.1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005140,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005157,9.25,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005231,8.7,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005421,0.75,3,0,0,0,0,0,10.1007/s10552-020-01291-3,1,1,0,0,0,0,0
10.1101/19005439,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005454,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005462,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005470,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005496,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005520,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005538,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005546,1.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005579,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005603,5.55,9,0,0,0,0,0,10.1109/jbhi.2020.2977925,0.25,1,0,0,0,0,0
10.1101/19005611,6.45,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005629,7.25,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005652,9.25,1,0,0,1,0,0,10.1021/acs.est.9b05490,71,9,0,0,9,0,0
10.1101/19005702,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005710,9,15,0,0,0,0,0,10.1098/rsif.2019.0628,10.25,19,2,0,0,0,0
10.1101/19005728,45.64,58,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005744,2.25,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005793,3.95,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005819,7.5,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005868,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005884,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005892,1.5,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005918,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005934,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005942,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005967,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005975,1.25,2,0,0,0,0,0,10.1159/000504135,0,0,0,0,0,0,0
10.1101/19005983,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19005991,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006007,7.25,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006015,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006023,1.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006031,14.6,27,0,0,0,0,0,10.1192/j.eurpsy.2020.24,8.25,12,0,0,0,0,0
10.1101/19006056,3.2,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006080,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006098,0.25,1,0,0,0,0,0,10.1136/bmjopen-2019-034396,0,0,0,0,0,0,0
10.1101/19006106,6.3,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006148,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006155,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006163,0.75,2,0,0,0,0,0,10.1002/pds.4984,7.3,13,0,0,0,0,0
10.1101/19006171,0.25,1,0,0,0,0,0,10.1038/s42256-020-0154-9,26.65,49,0,0,0,0,0
10.1101/19006189,3.35,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006197,26.55,38,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006221,4.45,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006247,4.6,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006254,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006288,1.35,2,0,0,0,0,0,10.1002/hbm.24908,11.6,20,0,0,0,0,0
10.1101/19006296,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006312,0.25,1,0,0,0,0,0,10.1136/bmjgh-2019-001974,26.6,13,0,0,2,0,0
10.1101/19006320,15.55,24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006346,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006353,7.33,1,0,1,0,0,0,10.1136/thoraxjnl-2019-213998,164.5,130,1,1,9,0,0
10.1101/19006379,2.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006395,3.45,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006403,5.3,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006429,1.75,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006452,4.85,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006478,1.25,2,0,0,0,0,0,10.1002/cjp2.155,9.2,17,1,0,0,0,0
10.1101/19006502,4.8,6,0,0,0,0,0,10.1371/journal.pntd.0007838,4.6,6,0,0,0,0,0
10.1101/19006510,9.35,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006569,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006577,13,23,0,0,0,0,0,10.1017/s0033291720000537,6.9,12,0,0,0,0,0
10.1101/19006585,3.45,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006601,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006619,23.7,47,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006627,5.6,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006635,14.85,24,0,0,0,0,0,10.1038/s41436-020-0754-0,35.85,66,1,0,0,0,0
10.1101/19006650,28.2,50,0,0,0,0,0,10.1016/j.nicl.2020.102213,10.6,20,0,0,0,0,0
10.1101/19006668,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006676,14.95,24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006684,9.25,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006718,6.05,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006726,4.65,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006759,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006767,2.6,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006783,9.3,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006809,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006817,10.85,18,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006833,6.45,9,0,0,0,0,0,10.1002/ijc.32929,13,18,1,0,0,0,0
10.1101/19006841,4.2,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006858,19.1,7,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006866,11.85,17,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006908,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006924,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006932,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006940,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19006957,0.75,2,0,0,0,0,0,10.1093/pubmed/fdz182,0,0,0,0,0,0,0
10.1101/19006965,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007005,7.55,13,0,0,0,0,0,10.1136/tobaccocontrol-2019-055433,276.58,71,1,2,28,0,0
10.1101/19007013,4.45,9,0,0,0,0,0,10.1192/bjp.2020.68,5.05,9,0,0,0,0,0
10.1101/19007021,0.25,1,0,0,0,0,0,10.1371/journal.pone.0226518,1,3,0,0,0,0,0
10.1101/19007039,18.25,32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007047,21,40,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007054,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007062,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007096,85.964,13,0,3,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007104,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007138,7.33,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007146,7.35,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007153,15.65,24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007161,2.25,4,0,0,0,0,0,10.1038/s41398-020-0738-5,8.7,18,0,0,0,0,0
10.1101/19007187,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007195,21.1,7,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007229,0.25,1,0,0,0,0,0,10.1111/bjh.16301,0.75,2,0,0,0,0,0
10.1101/19007237,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007260,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007278,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007286,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007294,2.95,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007328,2.5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007336,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007344,8.2,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007377,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007385,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007393,9.33,4,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007401,0.5,2,0,0,0,0,0,10.1186/s12902-020-0534-5,0,0,0,0,0,0,0
10.1101/19007419,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007435,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007450,16.204,11,0,1,0,0,0,10.1177/1352458520907901,14.104,10,0,1,0,0,0
10.1101/19007500,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007526,10.3,19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007542,1.75,4,0,0,0,0,0,10.1177/0269881120909409,24.65,11,0,0,2,0,0
10.1101/19007559,5.2,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007575,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007583,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007617,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007633,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007666,19,6,0,0,2,0,0,10.1371/journal.pone.0229819,17.75,3,0,0,2,0,0
10.1101/19007674,2.6,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007682,9.45,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007708,0.5,2,0,0,0,0,0,10.1136/bmjopen-2019-034595,4.95,6,0,0,0,0,0
10.1101/19007724,7.55,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007740,0.5,2,0,0,0,0,0,10.1038/s41598-020-61236-3,0,0,0,0,0,0,0
10.1101/19007757,7.75,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007765,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007773,10.8,5,0,1,0,0,0,10.1212/wnl.0000000000009183,15.6,12,0,1,0,0,0
10.1101/19007781,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007815,11.304,5,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007823,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007831,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007849,1.5,3,0,0,0,0,0,10.1136/bmjopen-2019-034741,0,0,0,0,0,0,0
10.1101/19007856,4.7,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007864,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007872,2.35,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007898,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007906,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007914,0.25,1,0,0,0,0,0,10.12688/f1000research.22040.1,0,0,0,0,0,0,0
10.1101/19007922,6.2,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007955,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007963,1.5,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007971,1,3,0,0,0,0,0,10.1371/journal.pcbi.1007743,6.65,13,0,0,0,0,0
10.1101/19007989,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19007997,6.2,11,0,0,0,0,0,10.1007/s10620-020-06122-8,7.65,11,0,0,0,0,0
10.1101/19008011,8.45,17,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008029,5.65,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008037,0.25,1,0,0,0,0,0,10.1038/s41598-020-62713-5,2.25,4,0,0,0,0,0
10.1101/19008045,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008052,1.5,3,0,0,0,0,0,10.1016/j.jinf.2019.10.006,5.75,13,0,0,0,0,0
10.1101/19008078,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008086,2.5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008102,9,12,0,0,0,0,0,10.1186/s13690-019-0383-8,26.83,24,0,1,0,1,0
10.1101/19008128,6.5,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008136,0.25,1,0,0,0,0,0,10.1136/jnnp-2019-322030,11.55,20,1,0,0,0,0
10.1101/19008144,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008151,93.7,114,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008169,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008185,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008201,0.25,1,0,0,0,0,0,10.1155/2020/5091218,1,3,0,0,0,0,0
10.1101/19008227,0.5,2,0,0,0,0,0,10.1136/jclinpath-2019-206242,1.25,5,0,0,0,0,0
10.1101/19008250,10.85,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008268,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008276,25.95,38,0,0,0,0,0,10.1177/1751143720901690,0,0,0,0,0,0,0
10.1101/19008284,1.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008300,3.45,5,0,0,0,0,0,10.1038/s41436-019-0741-5,39.846,43,2,1,1,0,0
10.1101/19008318,10.55,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008326,16.25,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008342,0.25,1,0,0,0,0,0,10.1093/ofid/ofz548,1.5,2,0,0,0,0,0
10.1101/19008367,2.5,6,0,0,0,0,0,10.1192/j.eurpsy.2020.17,12.75,24,0,0,0,0,0
10.1101/19008383,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008391,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008409,0.25,1,0,0,0,0,0,10.1016/j.drugpo.2020.102738,3.1,6,0,0,0,0,0
10.1101/19008417,3.5,6,0,0,0,0,0,10.1016/j.epidem.2020.100385,20.2,30,0,0,0,0,0
10.1101/19008433,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008458,11.7,19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008474,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008482,1.6,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008490,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008508,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008516,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008524,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008581,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008615,2.45,4,0,0,0,0,0,10.1093/brain/awz384,48,80,0,0,1,0,0
10.1101/19008631,1.85,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008649,25.8,41,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008664,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008672,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008680,4.05,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008706,2.75,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008722,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008748,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008755,4.85,10,0,0,0,0,0,10.1093/cid/ciaa035,15.8,28,0,0,0,0,0
10.1101/19008763,2.25,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008771,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008797,6,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008813,0.25,1,0,0,0,0,0,10.1016/j.nicl.2019.102116,0.75,2,0,0,0,0,0
10.1101/19008821,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008839,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008854,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008896,3.1,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008953,0.75,2,0,0,0,0,0,10.1186/s12966-020-0919-x,20.45,27,0,0,0,0,0
10.1101/19008961,1.35,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008987,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19008995,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009035,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009076,12.03,9,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009092,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009118,2.25,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009126,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009134,2.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009159,21.2,37,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009167,3.1,4,0,0,0,0,0,10.1161/jaha.119.015012,4.2,7,0,0,0,0,0
10.1101/19009175,10.25,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009183,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009191,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009233,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009241,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009258,3.45,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009274,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009282,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009316,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009332,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009365,1.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009381,4.8,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009407,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009423,0.25,1,0,0,0,0,0,10.1021/acsnano.9b08151,94.48,32,0,1,10,0,0
10.1101/19009431,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009449,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009456,0.75,3,0,0,0,0,0,10.1093/annonc/mdz261.007,1.6,4,0,0,0,0,0
10.1101/19009464,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009472,1.25,2,0,0,0,0,0,10.1177/1756286419898065,7.9,14,0,0,0,0,0
10.1101/19009480,5.05,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009498,2.85,6,0,0,0,0,0,10.1186/s12942-020-0196-6,8.25,12,4,0,0,0,0
10.1101/19009522,0.5,2,0,0,0,0,0,10.1074/mcp.ra120.001954,7.15,12,0,0,0,0,0
10.1101/19009530,1.1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009555,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009563,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009589,0.5,2,0,0,0,0,0,10.1371/journal.pone.0230274,0.75,2,0,0,0,0,0
10.1101/19009597,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009605,7,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009621,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009639,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009647,5.95,9,0,0,0,0,0,10.1007/s40262-020-00873-3,3.85,5,0,0,0,0,0
10.1101/19009662,6.9,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009696,5.3,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009704,2.35,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009712,3,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009738,0.75,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009746,0.25,1,0,0,0,0,0,10.1186/s43042-020-00057-5,0,0,0,0,0,0,0
10.1101/19009779,1.25,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/19009787,11.65,18,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
