doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/773879,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773887,7.9,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773895,10.1,18,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773903,9.9,18,0,0,0,0,0,10.1186/s12859-019-3179-5,10.696,7,0,1,0,0,0
10.1101/773911,5.35,9,0,0,0,0,0,10.1200/cci.19.00110,1.5,3,0,0,0,0,0
10.1101/773929,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773937,1.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773945,10.14,6,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773952,6.3,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/773978,1.5,3,0,0,0,0,0,10.1186/s12885-020-6529-9,3.6,6,0,0,0,0,0
10.1101/773986,596.476,1087,1,2,0,0,0,10.1126/science.aaz5357,513.232,644,4,6,7,2,0
10.1101/774000,19.73,24,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774018,3,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774026,1.25,5,0,0,0,0,0,10.1038/s41598-019-53028-1,0.25,1,0,0,0,0,0
10.1101/774034,3.6,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774042,1.75,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774067,7.684,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774075,3.35,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774091,2.5,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774109,3.85,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774125,6.15,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774133,20.1,34,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774158,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774166,1.25,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774216,24,48,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774224,4.95,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774232,17.834,17,0,1,0,0,0,10.1038/s41556-019-0423-1,112.53,56,1,2,10,0,0
10.1101/774240,3.1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774257,1.5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774265,17.53,20,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774273,57.3,92,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774281,12.75,24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774299,150.434,202,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774307,10.25,4,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774315,1.25,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774323,0.5,2,0,0,0,0,0,10.1016/j.vaccine.2019.11.051,0.5,1,0,0,0,0,0
10.1101/774331,1.5,3,0,0,0,0,0,10.1016/j.baae.2019.10.009,15.8,25,0,0,0,0,0
10.1101/774349,7.05,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774356,1.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774364,0.25,1,0,0,0,0,0,10.1016/j.molmet.2019.12.008,2.85,6,1,0,0,0,0
10.1101/774372,24,51,0,0,0,0,0,10.1093/bioinformatics/btz899,17.4,37,0,0,0,0,0
10.1101/774380,5.95,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774406,5.3,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774414,12.25,21,0,0,0,0,0,10.1038/s41467-020-14842-8,35.55,64,0,0,0,0,0
10.1101/774422,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774430,1.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774455,2.25,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774463,18.8,35,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774489,10.934,7,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774505,8,14,0,0,0,0,0,10.1371/journal.pone.0226825,3.6,6,0,0,0,0,0
10.1101/774539,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774547,18.784,20,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774554,4.85,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774562,14.95,25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774570,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774588,12.4,26,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774596,15.85,27,0,0,0,0,0,10.1186/s13071-020-3887-8,37.18,40,0,2,0,0,0
10.1101/774604,12.15,24,0,0,0,0,0,10.1111/2041-210x.13389,26.4,46,0,0,0,0,0
10.1101/774612,14.55,28,0,0,0,0,0,10.1186/s12864-020-6583-3,2.5,4,0,0,0,0,0
10.1101/774620,1.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774653,7.85,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774661,1.5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774687,3.25,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774695,5.95,12,0,0,0,0,0,10.7554/elife.52760,22.3,31,0,0,0,0,0
10.1101/774711,1,4,0,0,0,0,0,10.1371/journal.pone.0223637,2.1,3,0,0,0,0,0
10.1101/774737,8.55,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774752,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774760,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774778,14.3,25,0,0,0,0,0,10.1111/jeb.13612,11.25,19,1,0,0,0,0
10.1101/774794,10.184,5,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774802,2.25,6,0,0,0,0,0,10.1016/j.yjsbx.2020.100023,0,0,0,0,0,0,0
